City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
292,rocha,26,UY,1600053907,92,-34.48,-54.33,49.03,11.05
293,knysna,0,ZA,1600053320,87,-34.04,23.05,46.4,4.7
294,bari,0,IT,1600053907,72,41.12,16.85,72.0,5.82
295,cauquenes,0,CL,1600053908,81,-35.97,-72.32,43.2,11.5
296,sukosd,32,HU,1600053908,66,46.28,19.0,64.8,5.91
297,luganville,75,VU,1600053908,83,-15.53,167.17,77.0,6.93
298,esperance,55,AU,1600053908,55,-33.87,121.9,66.2,10.29
299,tabou,92,CI,1600053909,89,4.42,-7.35,76.14,10.22
300,doka,43,SD,1600053909,98,13.52,35.77,70.0,8.84
301,fuxin,78,CN,1600053909,66,42.02,121.66,69.13,2.75
302,wattegama,40,LK,1600053612,100,6.8,81.48,78.8,8.05
303,visby,67,SE,1600053909,87,57.64,18.3,62.01,14.99
304,airai,1,TL,1600053909,38,-8.93,125.41,75.15,7.76
305,mbigou,98,GA,1600053910,94,-1.9,11.91,66.47,3.96
306,saint-marc-des-carrieres,90,CA,1600053842,95,46.68,-72.05,64.0,10.29
307,qixingtai,100,CN,1600053910,94,30.41,111.89,66.2,3.31
308,bantry,75,IE,1600053910,100,51.68,-9.45,57.2,8.05
309,cabra,100,ES,1600053910,54,37.47,-4.44,72.0,1.63
310,pangnirtung,57,CA,1600053911,80,66.15,-65.71,36.18,1.12
311,nantucket,1,US,1600053911,93,41.28,-70.1,66.2,8.05
312,villiers,0,ZA,1600053911,58,-27.03,28.6,51.08,5.88
313,antofagasta,90,CL,1600053912,76,-23.65,-70.4,57.2,5.82
314,dolzhanskaya,0,RU,1600053912,53,46.63,37.8,69.19,6.02
315,la ronge,90,CA,1600053912,81,55.1,-105.28,48.2,2.24
316,coquimbo,0,CL,1600053912,81,-29.95,-71.34,51.8,3.58
317,guerrero negro,42,MX,1600053913,59,27.98,-114.06,76.55,13.69
318,slave lake,90,CA,1600053913,81,55.28,-114.77,50.0,3.36
319,muros,100,ES,1600053913,90,42.78,-9.06,64.99,1.01
320,ayacucho,8,PE,1600053913,58,-13.16,-74.22,56.19,4.63
321,severo-kurilsk,0,RU,1600053913,67,50.68,156.12,53.24,14.29
322,kollam,75,IN,1600053667,88,8.88,76.6,82.4,1.12
323,sangin,0,AF,1600053914,17,32.07,64.84,75.36,3.4
324,muisne,95,EC,1600053914,87,0.6,-80.03,74.08,6.6
325,klaksvik,100,FO,1600053314,93,62.23,-6.59,44.6,11.18
326,kupang,20,ID,1600053749,35,-10.17,123.58,89.6,10.29
327,waingapu,18,ID,1600053914,40,-9.66,120.26,86.83,15.5
328,cam ranh,40,VN,1600053914,79,11.92,109.16,87.8,2.24
329,zimovniki,0,RU,1600053915,44,47.15,42.46,55.06,4.03
330,tigil,100,RU,1600053915,87,57.8,158.67,45.73,13.0
331,yukamenskoye,100,RU,1600053915,95,57.89,52.24,50.34,13.87
332,key largo,100,US,1600053915,74,25.09,-80.45,82.99,1.99
333,geraldton,32,AU,1600053916,26,-28.77,114.6,80.6,18.34
334,husavik,90,IS,1600053916,93,66.04,-17.34,39.2,3.36
335,erenhot,47,CN,1600053916,28,43.65,111.98,62.33,11.1
336,wainwright,100,CA,1600053916,59,52.84,-110.86,50.63,13.06
337,namikupa,93,TZ,1600053917,93,-10.83,39.6,69.06,4.03
338,aklavik,75,CA,1600053917,70,68.22,-135.01,41.0,3.87
339,aksarka,100,RU,1600053917,83,66.56,67.8,46.11,14.38
340,dong xoai,92,VN,1600053917,80,11.53,106.92,83.86,3.71
341,belaya gora,3,RU,1600053917,37,68.53,146.42,58.44,15.75
342,gravdal,75,NO,1600053918,81,68.12,13.5,48.2,4.7
343,mehamn,90,NO,1600053918,81,71.04,27.85,48.2,9.17
344,aykhal,0,RU,1600053622,66,66.0,111.5,50.0,4.47
345,sitka,1,US,1600053918,29,57.05,-135.33,60.8,5.82
346,kibiti,27,TZ,1600053918,99,-7.72,38.94,68.63,1.07
347,dire,81,ML,1600053665,94,12.28,-10.97,73.85,1.12
348,itarema,25,BR,1600053919,79,-2.92,-39.92,77.43,17.4
349,quatre cocos,75,MU,1600053919,83,-20.21,57.76,71.01,12.75
350,ulladulla,40,AU,1600053919,60,-35.35,150.47,68.0,9.17
351,vostok,100,RU,1600053919,47,46.49,135.88,61.29,4.29
352,solnechnyy,99,RU,1600053919,53,50.72,136.63,73.13,3.49
353,auki,0,SB,1600053920,58,-8.77,160.7,87.75,4.7
354,lucea,20,JM,1600053920,88,18.45,-78.17,81.0,2.24
355,wanaka,88,NZ,1600053920,77,-44.7,169.15,50.72,9.19
356,vodnyy,94,RU,1600053920,92,63.5,53.41,49.08,7.94
357,galesong,20,ID,1600053920,33,-5.32,119.37,91.4,4.7
358,dongsheng,61,CN,1600053921,46,39.82,109.98,63.7,7.94
359,nara,75,JP,1600053659,57,34.69,135.8,82.99,2.24
360,izvestkovyy,100,RU,1600053921,52,48.98,131.55,70.25,4.21
361,tasiilaq,98,GL,1600053921,96,65.61,-37.64,28.47,3.13
362,diamantino,0,BR,1600053921,27,-14.41,-56.45,78.21,6.8
